         975778 function calls (971875 primitive calls) in 3.068 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      2/1    0.000    0.000    3.068    3.068 {built-in method builtins.exec}
        1    0.000    0.000    3.068    3.068 <string>:1(<module>)
        1    0.013    0.013    3.068    3.068 db_exact_match.py:95(exact_match_search_in_all_databases)
        3    0.000    0.000    3.055    1.018 db_exact_match.py:67(exact_match_search_in_single_database)
        3    0.001    0.000    1.756    0.585 db_exact_match.py:51(__search_for_all_sequences_in_input_df)
      363    0.006    0.000    1.726    0.005 db_exact_match.py:30(__search_for_single_sequence_in_input_df)
      363    0.001    0.000    1.642    0.005 common.py:62(new_method)
      363    0.001    0.000    1.639    0.005 arraylike.py:38(__eq__)
      363    0.003    0.000    1.638    0.005 series.py:5790(_cmp_method)
      363    0.004    0.000    1.551    0.004 array_ops.py:290(comparison_op)
      363    0.003    0.000    1.540    0.004 array_ops.py:115(comp_method_OBJECT_ARRAY)
      363    1.534    0.004    1.534    0.004 {pandas._libs.ops.scalar_compare}
        3    0.000    0.000    1.107    0.369 config_class.py:335(load_database)
        3    0.000    0.000    1.106    0.369 readers.py:848(read_csv)
        3    0.008    0.003    1.106    0.369 readers.py:574(_read)
        3    0.018    0.006    0.990    0.330 readers.py:1732(read)
        3    0.001    0.000    0.941    0.314 python_parser.py:244(read)
        3    0.108    0.036    0.568    0.189 python_parser.py:1082(_get_lines)
   100324    0.083    0.000    0.393    0.000 python_parser.py:784(_next_iter_line)
   100328    0.291    0.000    0.295    0.000 {built-in method builtins.next}
        3    0.000    0.000    0.270    0.090 python_parser.py:334(_convert_data)
        3    0.001    0.000    0.270    0.090 base_parser.py:513(_convert_to_ndarrays)
       47    0.001    0.000    0.268    0.006 base_parser.py:669(_infer_types)
        3    0.002    0.001    0.192    0.064 config_class.py:208(fill_Nans)
      379    0.004    0.000    0.141    0.000 indexing.py:867(__setitem__)
       45    0.137    0.003    0.137    0.003 {pandas._libs.parsers.sanitize_objects}
      379    0.005    0.000    0.110    0.000 indexing.py:1747(_setitem_with_indexer)
        3    0.000    0.000    0.108    0.036 readers.py:1403(__init__)
        3    0.000    0.000    0.108    0.036 readers.py:1673(_make_engine)
        3    0.000    0.000    0.106    0.035 common.py:652(get_handle)
        3    0.104    0.035    0.104    0.035 {built-in method io.open}
        3    0.000    0.000    0.102    0.034 python_parser.py:996(_rows_to_cols)
      379    0.004    0.000    0.097    0.000 indexing.py:1897(_setitem_with_indexer_split_path)
      758    0.001    0.000    0.089    0.000 missing.py:101(isna)
      379    0.003    0.000    0.088    0.000 indexing.py:2062(_setitem_single_column)
      758    0.001    0.000    0.088    0.000 missing.py:184(_isna)
        5    0.085    0.017    0.085    0.017 missing.py:261(_isna_array)
      363    0.005    0.000    0.080    0.000 series.py:5881(_construct_result)
       68    0.020    0.000    0.080    0.001 {built-in method builtins.max}
213666/210588    0.034    0.000    0.074    0.000 {built-in method builtins.len}
