         595871778 function calls (595868930 primitive calls) in 260.344 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000  260.344  260.344 {built-in method builtins.exec}
        1    0.000    0.000  260.344  260.344 <string>:1(<module>)
        1    0.013    0.013  260.344  260.344 db_aligner.py:134(smithWatermanAlgorithm_match_search_in_all_databases)
        3    0.000    0.000  260.331   86.777 db_aligner.py:110(smithWatermanAlgorithm_match_search_in_single_database)
        3   11.889    3.963  259.496   86.499 db_aligner.py:22(__align_all_sequences_in_input_df_with_data_df)
 11437592   31.813    0.000   85.960    0.000 frame.py:3856(__getitem__)
 11437592   23.816    0.000   83.051    0.000 series.py:1016(__getitem__)
 11436252   15.884    0.000   78.375    0.000 db_aligner.py:80(align_sequences)
 11436252   12.331    0.000   57.955    0.000 __init__.py:3398(score)
137387831/137387828   26.438    0.000   46.237    0.000 {built-in method builtins.isinstance}
 11437592   13.176    0.000   34.128    0.000 series.py:1139(_get_value)
 22877259   19.731    0.000   30.019    0.000 indexing.py:2678(check_dict_or_set_indexers)
 45745047   12.293    0.000   19.794    0.000 <frozen abc>:117(__instancecheck__)
 11438137    9.179    0.000   13.571    0.000 frame.py:4405(_get_item_cache)
 11436252   12.759    0.000   12.759    0.000 {function PairwiseAligner.score at 0x000001E567CC3CE0}
 11438647    7.734    0.000   11.723    0.000 range.py:409(get_loc)
 11437592    9.418    0.000   10.660    0.000 base.py:5299(__contains__)
 22877294    7.328    0.000    9.901    0.000 common.py:367(apply_if_callable)
 11438152    4.914    0.000    7.871    0.000 series.py:750(_values)
 45745047    7.500    0.000    7.500    0.000 {built-in method _abc._abc_instancecheck}
 11437625    3.714    0.000    5.044    0.000 inference.py:334(is_hashable)
 34315983    4.502    0.000    4.502    0.000 {pandas._libs.lib.is_integer}
 11438152    2.957    0.000    2.958    0.000 managers.py:1960(internal_values)
 11440740    2.938    0.000    2.938    0.000 __init__.py:33(using_copy_on_write)
 22877815    2.574    0.000    2.574    0.000 {built-in method builtins.callable}
 22875217    2.573    0.000    2.573    0.000 {built-in method builtins.hash}
 11438647    2.565    0.000    2.565    0.000 {method 'index' of 'range' objects}
23085495/23082661    2.388    0.000    2.389    0.000 {built-in method builtins.len}
 11436913    2.188    0.000    2.232    0.000 {built-in method builtins.max}
 11440276    1.884    0.000    1.884    0.000 {pandas._libs.lib.is_scalar}
 11437592    1.732    0.000    1.732    0.000 {pandas._libs.lib.item_from_zerodim}
 11439714    1.699    0.000    1.699    0.000 {pandas._libs.lib.is_iterator}
 11438397    1.422    0.000    1.422    0.000 {method 'get' of 'dict' objects}
        3    0.000    0.000    0.740    0.247 config_class.py:335(load_database)
        3    0.000    0.000    0.740    0.247 readers.py:848(read_csv)
        3    0.007    0.002    0.740    0.247 readers.py:574(_read)
        3    0.017    0.006    0.730    0.243 readers.py:1732(read)
        3    0.001    0.000    0.685    0.228 python_parser.py:244(read)
        3    0.074    0.025    0.436    0.145 python_parser.py:1082(_get_lines)
   100324    0.059    0.000    0.312    0.000 python_parser.py:784(_next_iter_line)
   100327    0.240    0.000    0.243    0.000 {built-in method builtins.next}
        3    0.000    0.000    0.166    0.055 python_parser.py:334(_convert_data)
        3    0.001    0.000    0.165    0.055 base_parser.py:513(_convert_to_ndarrays)
       47    0.001    0.000    0.164    0.003 base_parser.py:669(_infer_types)
      366    0.002    0.000    0.155    0.000 std.py:1161(__iter__)
      232    0.003    0.000    0.150    0.001 std.py:1199(update)
      235    0.001    0.000    0.147    0.001 std.py:1326(refresh)
      238    0.002    0.000    0.144    0.001 std.py:1465(display)
       45    0.119    0.003    0.119    0.003 {pandas._libs.parsers.sanitize_objects}
        3    0.001    0.000    0.094    0.031 config_class.py:208(fill_Nans)
      510    0.004    0.000    0.093    0.000 indexing.py:867(__setitem__)
        3    0.000    0.000    0.083    0.028 python_parser.py:996(_rows_to_cols)
      238    0.001    0.000    0.077    0.000 std.py:460(print_status)
      182    0.003    0.000    0.077    0.000 config_class.py:248(insert_match_to_input_df)
      714    0.001    0.000    0.069    0.000 utils.py:377(disp_len)
