         1013500 function calls (1011422 primitive calls) in 5.586 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    5.586    5.586 {built-in method builtins.exec}
        1    0.000    0.000    5.585    5.585 <string>:1(<module>)
        1    0.013    0.013    5.585    5.585 db_hamming.py:108(find_hamming_distances_for_all_databases)
        3    3.526    1.175    5.568    1.856 db_hamming.py:77(find_hamming_distances_for_single_database)
       13    0.648    0.050    0.648    0.050 {built-in method numpy.array}
        3    0.000    0.000    0.643    0.214 config_class.py:335(load_database)
        3    0.000    0.000    0.643    0.214 readers.py:848(read_csv)
        3    0.007    0.002    0.643    0.214 readers.py:574(_read)
        3    0.015    0.005    0.633    0.211 readers.py:1732(read)
        3    0.001    0.000    0.596    0.199 python_parser.py:244(read)
        5    0.000    0.000    0.461    0.092 {method 'sum' of 'numpy.ndarray' objects}
        8    0.461    0.058    0.461    0.058 {method 'reduce' of 'numpy.ufunc' objects}
        5    0.000    0.000    0.461    0.092 _methods.py:46(_sum)
        3    0.069    0.023    0.384    0.128 python_parser.py:1082(_get_lines)
   100324    0.051    0.000    0.269    0.000 python_parser.py:784(_next_iter_line)
   100327    0.207    0.000    0.209    0.000 {built-in method builtins.next}
        3    0.009    0.003    0.150    0.050 db_hamming.py:49(analyze_single_hamming_matrix)
        3    0.000    0.000    0.140    0.047 python_parser.py:334(_convert_data)
        3    0.001    0.000    0.140    0.047 base_parser.py:513(_convert_to_ndarrays)
       47    0.001    0.000    0.138    0.003 base_parser.py:669(_infer_types)
       45    0.108    0.002    0.108    0.002 {pandas._libs.parsers.sanitize_objects}
        3    0.087    0.029    0.087    0.029 db_hamming.py:101(<listcomp>)
        3    0.000    0.000    0.072    0.024 python_parser.py:996(_rows_to_cols)
        3    0.001    0.000    0.067    0.022 config_class.py:208(fill_Nans)
      490    0.003    0.000    0.065    0.000 indexing.py:867(__setitem__)
      182    0.020    0.000    0.059    0.000 {built-in method builtins.max}
      162    0.002    0.000    0.050    0.000 config_class.py:248(insert_match_to_input_df)
      490    0.004    0.000    0.044    0.000 indexing.py:1747(_setitem_with_indexer)
        3    0.026    0.009    0.042    0.014 db_hamming.py:97(<listcomp>)
   100321    0.031    0.000    0.039    0.000 python_parser.py:1002(<genexpr>)
      490    0.002    0.000    0.035    0.000 indexing.py:1897(_setitem_with_indexer_split_path)
       12    0.000    0.000    0.034    0.003 python_parser.py:853(_remove_empty_lines)
       12    0.026    0.002    0.034    0.003 python_parser.py:869(<listcomp>)
      525    0.002    0.000    0.032    0.000 indexing.py:1139(__getitem__)
      490    0.002    0.000    0.029    0.000 indexing.py:2062(_setitem_single_column)
       47    0.028    0.001    0.028    0.001 {pandas._libs.lib.maybe_convert_numeric}
    74/72    0.027    0.000    0.027    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
        3    0.000    0.000    0.024    0.008 <__array_function__ internals>:177(where)
      490    0.002    0.000    0.024    0.000 managers.py:1279(column_setitem)
        6    0.000    0.000    0.022    0.004 frame.py:668(__init__)
        3    0.000    0.000    0.021    0.007 construction.py:423(dict_to_mgr)
      525    0.001    0.000    0.021    0.000 frame.py:3985(_get_value)
        3    0.020    0.007    0.020    0.007 {pandas._libs.lib.to_object_array}
146199/146196    0.016    0.000    0.020    0.000 {built-in method builtins.isinstance}
211053/208989    0.019    0.000    0.019    0.000 {built-in method builtins.len}
     1399    0.002    0.000    0.019    0.000 frame.py:4405(_get_item_cache)
        3    0.002    0.001    0.019    0.006 construction.py:96(arrays_to_mgr)
      500    0.001    0.000    0.015    0.000 frame.py:3779(_ixs)
   100681    0.015    0.000    0.015    0.000 {method 'ljust' of 'str' objects}
        3    0.000    0.000    0.015    0.005 managers.py:2068(create_block_manager_from_column_arrays)
      490    0.002    0.000    0.013    0.000 indexing.py:728(_get_setitem_indexer)
      490    0.001    0.000    0.010    0.000 managers.py:363(setitem)
   101971    0.010    0.000    0.010    0.000 {method 'append' of 'list' objects}
      162    0.001    0.000    0.010    0.000 config_class.py:224(merge_all_identifiers)
     3740    0.004    0.000    0.010    0.000 indexing.py:2678(check_dict_or_set_indexers)
      496    0.002    0.000    0.009    0.000 managers.py:308(apply)
      490    0.002    0.000    0.009    0.000 managers.py:1045(iset)
      500    0.001    0.000    0.009    0.000 frame.py:4387(_box_col_values)
        3    0.000    0.000    0.008    0.003 managers.py:2137(_form_blocks)
      874    0.003    0.000    0.008    0.000 frame.py:3856(__getitem__)
        7    0.006    0.001    0.008    0.001 managers.py:2194(_stack_arrays)
        3    0.000    0.000    0.007    0.002 managers.py:1744(_consolidate_inplace)
        1    0.000    0.000    0.007    0.007 managers.py:2207(_consolidate)
        3    0.005    0.002    0.007    0.002 managers.py:2224(_merge_blocks)
      871    0.002    0.000    0.007    0.000 series.py:1016(__getitem__)
      490    0.001    0.000    0.007    0.000 indexing.py:959(_convert_tuple)
      990    0.005    0.000    0.006    0.000 managers.py:991(iget)
      490    0.001    0.000    0.006    0.000 indexing.py:963(<listcomp>)
  493/490    0.003    0.000    0.006    0.000 blocks.py:1127(setitem)
      980    0.002    0.000    0.005    0.000 indexing.py:1414(_convert_to_indexer)
      490    0.001    0.000    0.004    0.000 indexing.py:766(_maybe_mask_setitem_value)
      525    0.003    0.000    0.004    0.000 indexing.py:1213(_is_scalar_access)
      500    0.001    0.000    0.004    0.000 frame.py:656(_constructor_sliced_from_mgr)
     2036    0.001    0.000    0.004    0.000 {built-in method builtins.any}
     4141    0.002    0.000    0.004    0.000 generic.py:42(_instancecheck)
        4    0.000    0.000    0.003    0.001 std.py:1465(display)
      871    0.001    0.000    0.003    0.000 series.py:1139(_get_value)
        4    0.000    0.000    0.003    0.001 std.py:1161(__iter__)
        3    0.000    0.000    0.003    0.001 std.py:1326(refresh)
      506    0.002    0.000    0.003    0.000 generic.py:6147(__finalize__)
      490    0.001    0.000    0.003    0.000 utils.py:290(length_of_indexer)
     1886    0.002    0.000    0.003    0.000 range.py:409(get_loc)
      500    0.000    0.000    0.002    0.000 frame.py:653(_sliced_from_mgr)
      493    0.001    0.000    0.002    0.000 base.py:69(shape)
        1    0.000    0.000    0.002    0.002 <__array_function__ internals>:177(vstack)
        1    0.000    0.000    0.002    0.002 shape_base.py:222(vstack)
        2    0.000    0.000    0.002    0.001 <__array_function__ internals>:177(concatenate)
      927    0.001    0.000    0.002    0.000 <frozen codecs>:319(decode)
     2012    0.002    0.000    0.002    0.000 generic.py:6206(__setattr__)
      503    0.001    0.000    0.002    0.000 generic.py:335(_from_mgr)
      490    0.000    0.000    0.002    0.000 common.py:96(is_bool_indexer)
        2    0.000    0.000    0.002    0.001 std.py:1199(update)
      490    0.001    0.000    0.002    0.000 managers.py:1246(_iset_single)
       82    0.002    0.000    0.002    0.000 {built-in method numpy.empty}
     4141    0.002    0.000    0.002    0.000 generic.py:37(_check)
       62    0.000    0.000    0.002    0.000 construction.py:518(sanitize_array)
        3    0.000    0.000    0.002    0.001 base.py:798(tolist)
        3    0.000    0.000    0.002    0.001 readers.py:1403(__init__)
        3    0.002    0.001    0.002    0.001 {method 'tolist' of 'numpy.ndarray' objects}
     1000    0.001    0.000    0.002    0.000 base.py:5349(__getitem__)
      490    0.001    0.000    0.002    0.000 indexing.py:813(_ensure_listlike_indexer)
        4    0.000    0.000    0.002    0.000 std.py:460(print_status)
        3    0.000    0.000    0.002    0.001 readers.py:1673(_make_engine)
      9/6    0.000    0.000    0.002    0.000 series.py:371(__init__)
      990    0.001    0.000    0.002    0.000 base.py:3762(get_loc)
     1414    0.001    0.000    0.002    0.000 series.py:750(_values)
        1    0.000    0.000    0.002    0.002 std.py:953(__init__)
        3    0.000    0.000    0.002    0.001 construction.py:596(_homogenize)
     3775    0.001    0.000    0.002    0.000 common.py:367(apply_if_callable)
      518    0.001    0.000    0.002    0.000 generic.py:274(__init__)
     1473    0.001    0.000    0.002    0.000 generic.py:562(_get_axis)
     1479    0.001    0.000    0.001    0.000 base.py:71(<genexpr>)
